 dia mes anio hora min sec latitud longitud prof mag
375 2017 12 09 23 23 44.480 17.24 -101.17 46.3 1.55
376 2017 12 10 02 20 06.800 16.86 -100.47 10.0 2.5
377 2017 12 10 03 34 10.500 16.78 -100.49 5.0 1.56
378 2017 12 10 04 35 15.880 17.22 -101.12 18.0 2.18
379 2017 12 10 06 24 57.880 16.73 -101.5 16.1 2.04
380 2017 12 10 07 16 42.780 16.73 -101.5 16.1 2.7
381 2017 12 10 11 45 34.420 17.24 -101.17 46.3 1.97
382 2017 12 10 13 46 45.280 16.3 -100.88 16.0 1.99
383 2017 12 10 17 44 31.080 16.3 -100.88 16.0 2.56
384 2017 12 10 21 16 13.920 16.73 -101.5 16.1 3.65
385 2017 12 10 22 06 41.400 16.93 -100.36 10.0 1.88
386 2017 12 11 00 21 28.480 17.35 -101.34 7.4 1.5
387 2017 12 11 01 46 59.880 16.86 -100.47 10.0 2.7
388 2017 12 11 02 30 21.380 16.86 -100.47 10.0 2.18
389 2017 12 11 02 32 10.560 16.86 -100.47 10.0 2.45
390 2017 12 11 10 16 15.620 17.24 -101.04 36.2 3.18
391 2017 12 11 10 17 23.760 17.24 -101.04 36.2 1.84
392 2017 12 11 10 34 10.240 16.73 -101.5 16.1 2.38
393 2017 12 11 10 40 52.820 17.26 -101.02 5.0 1.89
394 2017 12 11 13 43 22.780 16.83 -100.09 5.0 2.0
395 2017 12 11 17 21 31.520 16.83 -101.58 16.1 1.8
396 2017 12 11 18 41 04.960 17.46 -101.57 30.0 2.54
397 2017 12 11 20 00 12.840 17.61 -101.39 47.6 1.99
398 2017 12 11 20 44 45.700 16.3 -100.77 10.0 3.41
399 2017 12 12 14 05 10.820 16.26 -100.91 16.3 2.26
400 2017 12 12 14 20 01.580 16.26 -100.91 16.3 1.9
401 2017 12 12 14 57 49.060 16.26 -100.91 16.3 1.76
402 2017 12 12 15 25 02.680 16.26 -100.91 16.3 1.77
403 2017 12 12 15 47 20.300 17.39 -101.5 30.0 2.84
